Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,7.4121,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,7.0358,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,7.4107,1.5e-06,0.05128205128205128,3,N/A,N/A
4,6.3667,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,7.3283,2.5e-06,0.08547008547008547,5,N/A,N/A
6,6.6681,3e-06,0.10256410256410256,6,N/A,N/A
7,7.3036,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,7.8893,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,6.7627,4.5e-06,0.15384615384615385,9,N/A,N/A
10,6.6659,5e-06,0.17094017094017094,10,N/A,N/A
11,6.9223,5.500000000000001e-06,0.18803418803418803,11,N/A,N/A
12,7.1559,6e-06,0.20512820512820512,12,N/A,N/A
13,6.3928,6.5000000000000004e-06,0.2222222222222222,13,N/A,N/A
14,6.2952,7.000000000000001e-06,0.23931623931623933,14,N/A,N/A
15,6.0497,7.5e-06,0.2564102564102564,15,N/A,N/A
16,6.2727,8.000000000000001e-06,0.27350427350427353,16,N/A,N/A
17,6.3354,8.500000000000002e-06,0.2905982905982906,17,N/A,N/A
18,6.0945,9e-06,0.3076923076923077,18,N/A,N/A
19,5.3669,9.5e-06,0.3247863247863248,19,N/A,N/A
20,6.1493,1e-05,0.3418803418803419,20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.5223880597014925,0.47087152626218537
21,5.9808,1.05e-05,0.358974358974359,21,N/A,N/A
22,5.6435,1.1000000000000001e-05,0.37606837606837606,22,N/A,N/A
23,6.0133,1.1500000000000002e-05,0.39316239316239315,23,N/A,N/A
24,5.8053,1.2e-05,0.41025641025641024,24,N/A,N/A
25,7.0642,1.25e-05,0.42735042735042733,25,N/A,N/A
26,6.1538,1.3000000000000001e-05,0.4444444444444444,26,N/A,N/A
27,5.7915,1.3500000000000001e-05,0.46153846153846156,27,N/A,N/A
28,5.2315,1.4000000000000001e-05,0.47863247863247865,28,N/A,N/A
29,5.1908,1.45e-05,0.49572649572649574,29,N/A,N/A
30,4.7428,1.5e-05,0.5128205128205128,30,N/A,N/A
31,5.2695,1.55e-05,0.5299145299145299,31,N/A,N/A
32,5.0597,1.6000000000000003e-05,0.5470085470085471,32,N/A,N/A
33,4.2689,1.65e-05,0.5641025641025641,33,N/A,N/A
34,4.3454,1.7000000000000003e-05,0.5811965811965812,34,N/A,N/A
35,4.0014,1.75e-05,0.5982905982905983,35,N/A,N/A
36,2.5598,1.8e-05,0.6153846153846154,36,N/A,N/A
37,3.0666,1.85e-05,0.6324786324786325,37,N/A,N/A
38,2.1385,1.9e-05,0.6495726495726496,38,N/A,N/A
39,2.3827,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,1.8395,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9253731343283582,0.9232078853046595
41,1.3215,2.05e-05,0.7008547008547008,41,N/A,N/A
42,1.1116,2.1e-05,0.717948717948718,42,N/A,N/A
43,0.5568,2.15e-05,0.7350427350427351,43,N/A,N/A
44,0.4307,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,1.4196,2.25e-05,0.7692307692307693,45,N/A,N/A
46,0.9403,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,0.1252,2.35e-05,0.8034188034188035,47,N/A,N/A
48,0.7782,2.4e-05,0.8205128205128205,48,N/A,N/A
49,0.1043,2.45e-05,0.8376068376068376,49,N/A,N/A
50,0.331,2.5e-05,0.8547008547008547,50,N/A,N/A
51,0.1338,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,0.1474,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,0.1082,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,0.0829,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.671,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,3.7606,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,0.037,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,0.4817,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.1505,2.95e-05,1.0,59,N/A,N/A
60,0.0223,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9865384615384617
61,0.0282,3.05e-05,1.0341880341880343,61,N/A,N/A
62,1.9718,3.1e-05,1.0512820512820513,62,N/A,N/A
63,0.0057,3.15e-05,1.0683760683760684,63,N/A,N/A
64,0.2156,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,0.8802,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.0952,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.0053,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.1172,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.0053,3.45e-05,1.170940170940171,69,N/A,N/A
70,1.2476,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.0079,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.0058,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.0095,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.0238,3.7e-05,1.2564102564102564,74,N/A,N/A
75,0.0131,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.002,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.0029,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.0055,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.0025,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.002,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9925373134328358,0.9948717948717949
81,0.0085,4.05e-05,1.376068376068376,81,N/A,N/A
82,0.0016,4.1e-05,1.393162393162393,82,N/A,N/A
83,0.0049,4.15e-05,1.4102564102564101,83,N/A,N/A
84,0.0055,4.2e-05,1.4273504273504274,84,N/A,N/A
85,1.7426,4.25e-05,1.4444444444444444,85,N/A,N/A
86,0.0015,4.3e-05,1.4615384615384617,86,N/A,N/A
87,0.0041,4.35e-05,1.4786324786324787,87,N/A,N/A
