Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,3.8756,5.000000000000001e-07,0.017094017094017096,1,N/A
2,2.3796,1.0000000000000002e-06,0.03418803418803419,2,N/A
3,2.8103,1.5e-06,0.05128205128205128,3,N/A
4,2.4718,2.0000000000000003e-06,0.06837606837606838,4,N/A
5,2.3959,2.5e-06,0.08547008547008547,5,N/A
6,2.5068,3e-06,0.10256410256410256,6,N/A
7,2.7565,3.5000000000000004e-06,0.11965811965811966,7,N/A
8,3.6315,4.000000000000001e-06,0.13675213675213677,8,N/A
9,2.3734,4.5e-06,0.15384615384615385,9,N/A
10,2.4607,5e-06,0.17094017094017094,10,N/A
11,2.6613,5.500000000000001e-06,0.18803418803418803,11,N/A
12,2.2719,6e-06,0.20512820512820512,12,N/A
13,2.5424,6.5000000000000004e-06,0.2222222222222222,13,N/A
14,2.6237,7.000000000000001e-06,0.23931623931623933,14,N/A
15,2.5111,7.5e-06,0.2564102564102564,15,N/A
16,1.956,8.000000000000001e-06,0.27350427350427353,16,N/A
17,2.6647,8.500000000000002e-06,0.2905982905982906,17,N/A
18,1.7352,9e-06,0.3076923076923077,18,N/A
19,2.5065,9.5e-06,0.3247863247863248,19,N/A
20,2.0473,1e-05,0.3418803418803419,20,N/A
21,1.9916,1.05e-05,0.358974358974359,21,N/A
22,1.9695,1.1000000000000001e-05,0.37606837606837606,22,N/A
23,2.36,1.1500000000000002e-05,0.39316239316239315,23,N/A
24,2.0281,1.2e-05,0.41025641025641024,24,N/A
25,1.8645,1.25e-05,0.42735042735042733,25,N/A
26,1.8912,1.3000000000000001e-05,0.4444444444444444,26,N/A
27,2.0629,1.3500000000000001e-05,0.46153846153846156,27,N/A
28,1.7274,1.4000000000000001e-05,0.47863247863247865,28,N/A
29,1.7348,1.45e-05,0.49572649572649574,29,N/A
30,1.4476,1.5e-05,0.5128205128205128,30,N/A
31,1.4713,1.55e-05,0.5299145299145299,31,N/A
32,1.5439,1.6000000000000003e-05,0.5470085470085471,32,N/A
33,1.6381,1.65e-05,0.5641025641025641,33,N/A
34,1.2228,1.7000000000000003e-05,0.5811965811965812,34,N/A
35,1.3973,1.75e-05,0.5982905982905983,35,N/A
36,1.3926,1.8e-05,0.6153846153846154,36,N/A
37,1.3846,1.85e-05,0.6324786324786325,37,N/A
38,1.3229,1.9e-05,0.6495726495726496,38,N/A
39,1.4219,1.9500000000000003e-05,0.6666666666666666,39,N/A
40,1.3239,2e-05,0.6837606837606838,40,N/A
41,1.1752,2.05e-05,0.7008547008547008,41,N/A
42,1.082,2.1e-05,0.717948717948718,42,N/A
43,1.2714,2.15e-05,0.7350427350427351,43,N/A
44,1.2254,2.2000000000000003e-05,0.7521367521367521,44,N/A
45,1.2793,2.25e-05,0.7692307692307693,45,N/A
46,1.1934,2.3000000000000003e-05,0.7863247863247863,46,N/A
47,0.7772,2.35e-05,0.8034188034188035,47,N/A
48,1.0418,2.4e-05,0.8205128205128205,48,N/A
49,1.0524,2.45e-05,0.8376068376068376,49,N/A
50,1.4533,2.5e-05,0.8547008547008547,50,N/A
51,0.8494,2.5500000000000003e-05,0.8717948717948718,51,N/A
52,0.9028,2.6000000000000002e-05,0.8888888888888888,52,N/A
53,0.8883,2.6500000000000004e-05,0.905982905982906,53,N/A
54,0.7576,2.7000000000000002e-05,0.9230769230769231,54,N/A
55,1.0832,2.7500000000000004e-05,0.9401709401709402,55,N/A
56,0.7413,2.8000000000000003e-05,0.9572649572649573,56,N/A
57,0.6254,2.8499999999999998e-05,0.9743589743589743,57,N/A
58,0.9539,2.9e-05,0.9914529914529915,58,N/A
59,0.2634,2.95e-05,1.0,59,N/A
