Step,Loss,Learning Rate,Epoch,Global Step,eval_accuracy
1,1.9443,5.000000000000001e-07,1.0,1,N/A
N/A,N/A,N/A,N/A,N/A,0.0
2,2.2384,1.0000000000000002e-06,2.0,2,N/A
N/A,N/A,N/A,N/A,N/A,0.0
3,2.1902,1.5e-06,3.0,3,N/A
N/A,N/A,N/A,N/A,N/A,0.0
4,2.0299,2.0000000000000003e-06,4.0,4,N/A
N/A,N/A,N/A,N/A,N/A,0.0
5,2.2201,2.5e-06,5.0,5,N/A
N/A,N/A,N/A,N/A,N/A,0.0
6,2.0386,3e-06,6.0,6,N/A
N/A,N/A,N/A,N/A,N/A,0.0
7,2.3379,3.5000000000000004e-06,7.0,7,N/A
N/A,N/A,N/A,N/A,N/A,0.0
8,2.0445,4.000000000000001e-06,8.0,8,N/A
N/A,N/A,N/A,N/A,N/A,0.0
9,2.1586,4.5e-06,9.0,9,N/A
N/A,N/A,N/A,N/A,N/A,0.0
10,2.1545,5e-06,10.0,10,N/A
N/A,N/A,N/A,N/A,N/A,0.0
N/A,N/A,N/A,N/A,N/A,0.0
