Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
1,6.4489,5.000000000000001e-07,0.017094017094017096,1,N/A,N/A
2,6.5292,1.0000000000000002e-06,0.03418803418803419,2,N/A,N/A
3,6.916,1.5e-06,0.05128205128205128,3,N/A,N/A
4,6.0543,2.0000000000000003e-06,0.06837606837606838,4,N/A,N/A
5,6.5709,2.5e-06,0.08547008547008547,5,N/A,N/A
6,6.004,3e-06,0.10256410256410256,6,N/A,N/A
7,7.6787,3.5000000000000004e-06,0.11965811965811966,7,N/A,N/A
8,6.7931,4.000000000000001e-06,0.13675213675213677,8,N/A,N/A
9,6.9498,4.5e-06,0.15384615384615385,9,N/A,N/A
10,7.0981,5e-06,0.17094017094017094,10,N/A,N/A
11,7.6188,5.500000000000001e-06,0.18803418803418803,11,N/A,N/A
12,7.2411,6e-06,0.20512820512820512,12,N/A,N/A
13,6.5922,6.5000000000000004e-06,0.2222222222222222,13,N/A,N/A
14,6.3782,7.000000000000001e-06,0.23931623931623933,14,N/A,N/A
15,6.6425,7.5e-06,0.2564102564102564,15,N/A,N/A
16,6.3605,8.000000000000001e-06,0.27350427350427353,16,N/A,N/A
17,6.6424,8.500000000000002e-06,0.2905982905982906,17,N/A,N/A
18,7.0973,9e-06,0.3076923076923077,18,N/A,N/A
19,6.0163,9.5e-06,0.3247863247863248,19,N/A,N/A
20,6.39,1e-05,0.3418803418803419,20,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.23134328358208955,0.04626865671641791
21,6.5762,1.05e-05,0.358974358974359,21,N/A,N/A
22,6.2649,1.1000000000000001e-05,0.37606837606837606,22,N/A,N/A
23,6.1039,1.1500000000000002e-05,0.39316239316239315,23,N/A,N/A
24,6.1067,1.2e-05,0.41025641025641024,24,N/A,N/A
25,6.9688,1.25e-05,0.42735042735042733,25,N/A,N/A
26,6.6292,1.3000000000000001e-05,0.4444444444444444,26,N/A,N/A
27,6.2119,1.3500000000000001e-05,0.46153846153846156,27,N/A,N/A
28,5.776,1.4000000000000001e-05,0.47863247863247865,28,N/A,N/A
29,5.9287,1.45e-05,0.49572649572649574,29,N/A,N/A
30,5.3768,1.5e-05,0.5128205128205128,30,N/A,N/A
31,5.524,1.55e-05,0.5299145299145299,31,N/A,N/A
32,5.9823,1.6000000000000003e-05,0.5470085470085471,32,N/A,N/A
33,5.3124,1.65e-05,0.5641025641025641,33,N/A,N/A
34,6.3445,1.7000000000000003e-05,0.5811965811965812,34,N/A,N/A
35,6.2647,1.75e-05,0.5982905982905983,35,N/A,N/A
36,5.5494,1.8e-05,0.6153846153846154,36,N/A,N/A
37,6.5293,1.85e-05,0.6324786324786325,37,N/A,N/A
38,4.6156,1.9e-05,0.6495726495726496,38,N/A,N/A
39,5.2774,1.9500000000000003e-05,0.6666666666666666,39,N/A,N/A
40,5.0392,2e-05,0.6837606837606838,40,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.6492537313432836,0.40820175769937794
41,4.5767,2.05e-05,0.7008547008547008,41,N/A,N/A
42,4.5254,2.1e-05,0.717948717948718,42,N/A,N/A
43,4.0837,2.15e-05,0.7350427350427351,43,N/A,N/A
44,3.8487,2.2000000000000003e-05,0.7521367521367521,44,N/A,N/A
45,4.7671,2.25e-05,0.7692307692307693,45,N/A,N/A
46,4.2494,2.3000000000000003e-05,0.7863247863247863,46,N/A,N/A
47,2.741,2.35e-05,0.8034188034188035,47,N/A,N/A
48,2.687,2.4e-05,0.8205128205128205,48,N/A,N/A
49,1.8593,2.45e-05,0.8376068376068376,49,N/A,N/A
50,2.9961,2.5e-05,0.8547008547008547,50,N/A,N/A
51,1.5218,2.5500000000000003e-05,0.8717948717948718,51,N/A,N/A
52,0.9737,2.6000000000000002e-05,0.8888888888888888,52,N/A,N/A
53,1.0238,2.6500000000000004e-05,0.905982905982906,53,N/A,N/A
54,0.5074,2.7000000000000002e-05,0.9230769230769231,54,N/A,N/A
55,1.326,2.7500000000000004e-05,0.9401709401709402,55,N/A,N/A
56,1.4149,2.8000000000000003e-05,0.9572649572649573,56,N/A,N/A
57,0.7122,2.8499999999999998e-05,0.9743589743589743,57,N/A,N/A
58,1.7133,2.9e-05,0.9914529914529915,58,N/A,N/A
59,0.0797,2.95e-05,1.0,59,N/A,N/A
60,0.0941,3e-05,1.017094017094017,60,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9805860805860807
61,0.36,3.05e-05,1.0341880341880343,61,N/A,N/A
62,2.3268,3.1e-05,1.0512820512820513,62,N/A,N/A
63,0.0181,3.15e-05,1.0683760683760684,63,N/A,N/A
64,0.1104,3.2000000000000005e-05,1.0854700854700854,64,N/A,N/A
65,0.2267,3.2500000000000004e-05,1.1025641025641026,65,N/A,N/A
66,0.086,3.3e-05,1.1196581196581197,66,N/A,N/A
67,0.0148,3.35e-05,1.1367521367521367,67,N/A,N/A
68,0.0772,3.4000000000000007e-05,1.1538461538461537,68,N/A,N/A
69,0.008,3.45e-05,1.170940170940171,69,N/A,N/A
70,0.2059,3.5e-05,1.188034188034188,70,N/A,N/A
71,0.0152,3.55e-05,1.205128205128205,71,N/A,N/A
72,0.316,3.6e-05,1.2222222222222223,72,N/A,N/A
73,0.0053,3.65e-05,1.2393162393162394,73,N/A,N/A
74,0.2143,3.7e-05,1.2564102564102564,74,N/A,N/A
75,0.0319,3.7500000000000003e-05,1.2735042735042734,75,N/A,N/A
76,0.0016,3.8e-05,1.2905982905982907,76,N/A,N/A
77,0.0029,3.85e-05,1.3076923076923077,77,N/A,N/A
78,0.0046,3.9000000000000006e-05,1.3247863247863247,78,N/A,N/A
79,0.0162,3.9500000000000005e-05,1.341880341880342,79,N/A,N/A
80,0.0012,4e-05,1.358974358974359,80,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.99
81,0.0071,4.05e-05,1.376068376068376,81,N/A,N/A
